Country,Admin1,Facility name,Facility type,Ownership,Lat,Long,LL source
Rwanda,East,Bugaragara Health Centre,Health Centre,Public,-1.2907,30.4123,GPS
Rwanda,East,Bugarura Health Centre,Health Centre,Public,-1.7333,30.3378,GPS
Rwanda,East,Buhabwa Health Centre,Health Centre ,Public,-1.7446,30.5698,Geonames
Rwanda,East,Bukora Health Centre,Health Centre,Public,-2.3088,30.7865,GPS
Rwanda,East,Cyabayaga Health Centre,Health Centre,Public,-1.395,30.2951,GPS
Rwanda,East,Cyarubare Health Centre,Health Centre,Public,-2.0204,30.6377,GPS
Rwanda,East,Cyondo Health Centre,Health Centre,Public,-1.4406,30.1206,GPS
Rwanda,East,Gahara Health Centre,Health Centre,Public,-2.334,30.5043,GPS
Rwanda,East,Gahengeri Health Centre,Health Centre,Public,-1.9707,30.3221,GPS
Rwanda,East,Gahini Health Centre,Health Centre,Public,-1.8407,30.4832,GPS
Rwanda,East,Gakenke Health Centre,Health Centre,Public,-1.8016,30.4164,GPS
Rwanda,East,Gakurazo Health Centre,Health Centre,Public,-2.1853,30.0254,GPS
Rwanda,East,Gasange Health Centre,Health Centre,Public,-1.8093,30.2971,GPS
Rwanda,East,Gashongora Health Centre,Health Centre,Public,-2.3178,30.5507,GPS
Rwanda,East,Gashora Health Centre,Health Centre,Public,-2.2055,30.245,GPS
Rwanda,East,Gatsibo Health Centre,Health Centre,Public,-1.5826,30.2391,GPS
Rwanda,East,Gihinga Health Centre,Health Centre,Public,-2.2706,30.0076,GPS
Rwanda,East,Gitoki Health Centre,Health Centre,Public,-1.6426,30.3225,GPS
Rwanda,East,Gituku Health Centre,Health Centre,Public,-2.1354,30.6396,GPS
Rwanda,East,Gituza Health Centre,Health Centre,Public,-1.6192,30.2919,GPS
Rwanda,East,Humure Health Centre,Health Centre,Public,-1.6829,30.3065,GPS
Rwanda,East,Jarama Health Centre,Health Centre,Public,-2.28,30.3812,GPS
Rwanda,East,Juru Health Centre,Health Centre,Public,-2.1154,30.2328,GPS
Rwanda,East,Kabarondo (Kayonza) Health Centre,Health Centre,Public,-2.0103,30.5577,GPS
Rwanda,East,Kabarore Health Centre,Health Centre,Public,-1.6242,30.3887,GPS
Rwanda,East,Kabuga (Karama Nyagatare) Health Centre,Health Centre,Public,-1.3551,30.1984,GPS
Rwanda,East,Kabuye (kirehe) Health Centre,Health Centre,Public,-2.0876,30.778,GPS
